iter	Logloss
0	0.6607333318
1	0.6342223458
2	0.6081436917
3	0.586697212
4	0.5658540854
5	0.5462182358
6	0.5304949706
7	0.5142393943
8	0.4996724901
9	0.4857101041
10	0.4729724529
11	0.4621768614
12	0.4517021047
13	0.4419129628
14	0.4330654512
15	0.4247842845
16	0.4173353805
17	0.4106348059
18	0.4040000092
19	0.3978469441
20	0.3917287073
21	0.386814142
22	0.3818400761
23	0.3770761127
24	0.372545031
25	0.3685913501
26	0.3655679564
27	0.3615840491
28	0.3580541556
29	0.3551165112
30	0.3520454139
31	0.3493346879
32	0.3474187991
33	0.3447216794
34	0.3418377069
35	0.3393484894
36	0.337356634
37	0.3357489476
38	0.333627949
39	0.3316967454
40	0.3299238002
41	0.3282357223
42	0.326699314
43	0.3256940361
44	0.3240851575
45	0.3229013546
46	0.3211416335
47	0.3201460484
48	0.3191226799
49	0.3174219161
50	0.316625877
51	0.3151946634
52	0.314082437
53	0.3129052329
54	0.3117559127
55	0.3107918205
56	0.3094753727
57	0.3087221707
58	0.3078732021
59	0.3069254917
60	0.3063558689
61	0.3057881242
62	0.3049212995
63	0.3040852897
64	0.3030833629
65	0.3026158835
66	0.3015834606
67	0.3008155025
68	0.3002915819
69	0.2995151154
70	0.2988103429
71	0.2983641485
72	0.2977700509
73	0.2971602082
74	0.2966889997
75	0.2961402919
76	0.295775835
77	0.2951580949
78	0.2944037762
79	0.2938956802
80	0.2934035855
81	0.2929095258
82	0.2925151339
83	0.2917244491
84	0.2911952073
85	0.2905694309
86	0.290183643
87	0.2897343285
88	0.289252825
89	0.2888982161
90	0.2884101623
91	0.2878060557
92	0.2873399144
93	0.2868650673
94	0.2864762908
95	0.2861023358
96	0.2856422291
97	0.2853550647
98	0.2850199133
99	0.2844817
100	0.2840211076
101	0.2834367551
102	0.2828817188
103	0.2825203523
104	0.2817856023
105	0.2811585026
106	0.2806178985
107	0.2802585795
108	0.2795168606
109	0.2792424593
110	0.2788927475
111	0.2785407694
112	0.2782333928
113	0.2779722763
114	0.2772911483
115	0.2768396787
116	0.2765802955
117	0.2759851606
118	0.2757323826
119	0.2753144672
120	0.274385408
121	0.2740122913
122	0.2734581157
123	0.2731868599
124	0.2727621452
125	0.2724380395
126	0.2720786685
127	0.271789951
128	0.2714328235
129	0.2712113485
130	0.2707476309
131	0.2705107382
132	0.2702238252
133	0.2699541624
134	0.2695145207
135	0.2691658035
136	0.2688641743
137	0.2686010683
138	0.2683190269
139	0.2680765782
140	0.267770277
141	0.2675414466
142	0.2672755733
143	0.2669860872
144	0.2666345336
145	0.266358701
146	0.2661347468
147	0.2655986979
148	0.265200582
149	0.2648469651
150	0.2645831677
151	0.264396974
152	0.2641531742
153	0.2639332051
154	0.2635981105
155	0.2633003419
156	0.2630513655
157	0.2628489013
158	0.2625070004
159	0.2621253447
160	0.2619072686
161	0.2616961748
162	0.2612670293
163	0.2608547195
164	0.2605369566
165	0.2602303284
166	0.2599666189
167	0.2597658074
168	0.2593364445
169	0.2589962098
170	0.2585425881
171	0.2583097741
172	0.2581431097
173	0.2579375142
174	0.2577209308
175	0.2574128431
176	0.2571315875
177	0.2568572906
178	0.2567362811
179	0.2565699449
180	0.2563103023
181	0.2558051751
182	0.2553218564
183	0.2551711433
184	0.2548052233
185	0.2546026241
186	0.2543231315
187	0.2541118791
188	0.2538250995
189	0.2534727152
190	0.253271199
191	0.2531360504
192	0.2528964929
193	0.252714106
194	0.2525234373
195	0.2522643193
196	0.2520039496
197	0.2517985451
198	0.2516079619
199	0.2513594349
200	0.2509099419
201	0.2505549671
202	0.2504020249
203	0.2501585449
204	0.2498997964
205	0.2496645161
206	0.2493390287
207	0.2491102262
208	0.2487173406
209	0.2485753289
210	0.2483131404
211	0.2481558061
212	0.2477014134
213	0.2475639703
214	0.2474081854
215	0.2472147695
216	0.2469549948
217	0.2467827832
218	0.246598984
219	0.2463944423
220	0.2461581394
221	0.2458711802
222	0.2457450589
223	0.2454435777
224	0.2451479587
225	0.2448431439
226	0.2446588083
227	0.2444038261
228	0.2441857278
229	0.2439691937
230	0.2438261472
231	0.243545382
232	0.24334434
233	0.2430370382
234	0.2428530296
235	0.2426763983
236	0.2425192507
237	0.2423119426
238	0.242136143
239	0.2419891172
240	0.2417976627
241	0.2414295982
242	0.2412766225
243	0.2410386156
244	0.240883122
245	0.2407481999
246	0.2404755258
247	0.24032598
248	0.2401397921
249	0.2398866372
250	0.2396665406
251	0.239492919
252	0.2391331707
253	0.2389320197
254	0.2385420955
255	0.2383575479
256	0.2382159671
257	0.2378783509
258	0.2376742551
259	0.2374604396
260	0.2372639193
261	0.23703201
262	0.2368005566
263	0.236667397
264	0.2364744933
265	0.2363915971
266	0.2362699371
267	0.2359284296
268	0.2357281655
269	0.2354651694
270	0.2353569569
271	0.2352514299
272	0.2350244369
273	0.2347718059
274	0.2345573722
275	0.234409013
276	0.2342325417
277	0.2341151631
278	0.2338644854
279	0.2335961228
280	0.2333493418
281	0.2330029942
282	0.2327969792
283	0.232605676
284	0.2323665112
