iter	Passed	Remaining
0	168	168291
1	179	89811
2	192	64037
3	207	51767
4	218	43482
5	229	37984
6	239	34034
7	250	31019
8	260	28636
9	270	26736
10	279	25150
11	288	23792
12	298	22698
13	307	21691
14	317	20831
15	326	20080
16	336	19470
17	347	18937
18	358	18497
19	367	18009
20	376	17556
21	385	17147
22	394	16768
23	405	16471
24	414	16184
25	424	15908
26	433	15618
27	442	15370
28	451	15128
29	461	14917
30	472	14784
31	482	14595
32	494	14488
33	503	14315
34	514	14189
35	524	14032
36	534	13901
37	545	13808
38	555	13685
39	564	13556
40	574	13431
41	584	13321
42	594	13229
43	604	13133
44	614	13042
45	624	12943
46	634	12866
47	644	12773
48	652	12672
49	662	12580
50	670	12483
51	680	12412
52	689	12321
53	698	12238
54	707	12164
55	717	12091
56	727	12035
57	736	11967
58	747	11919
59	757	11861
60	766	11792
61	777	11757
62	787	11717
63	797	11667
64	808	11626
65	820	11610
66	830	11562
67	842	11541
68	851	11491
69	861	11444
70	871	11400
71	881	11361
72	891	11320
73	901	11278
74	911	11236
75	920	11197
76	933	11192
77	944	11168
78	954	11127
79	963	11077
80	973	11046
81	982	10999
82	990	10948
83	999	10902
84	1009	10865
85	1018	10829
86	1027	10786
87	1038	10764
88	1047	10720
89	1056	10679
90	1064	10633
91	1074	10606
92	1085	10586
93	1094	10547
94	1103	10516
95	1113	10483
96	1122	10449
97	1132	10419
98	1141	10384
99	1150	10350
100	1158	10313
101	1166	10272
102	1175	10238
103	1183	10199
104	1193	10171
105	1202	10139
106	1210	10106
107	1219	10071
108	1228	10038
109	1236	10004
110	1244	9966
111	1252	9932
112	1261	9898
113	1269	9862
114	1276	9826
115	1284	9790
116	1292	9756
117	1300	9720
118	1308	9683
119	1315	9648
120	1323	9617
121	1332	9587
122	1340	9558
123	1348	9523
124	1355	9490
125	1363	9455
126	1370	9419
127	1377	9384
128	1385	9351
129	1392	9318
130	1400	9293
131	1409	9265
132	1418	9245
133	1427	9224
134	1436	9201
135	1444	9177
136	1456	9171
137	1464	9145
138	1473	9126
139	1481	9100
140	1490	9082
141	1498	9054
142	1505	9022
143	1515	9009
144	1524	8986
145	1531	8960
146	1539	8931
147	1546	8900
148	1553	8873
149	1561	8846
150	1568	8819
151	1575	8789
152	1582	8762
153	1589	8733
154	1597	8707
155	1606	8691
156	1614	8668
157	1621	8641
158	1628	8615
159	1635	8587
160	1642	8559
161	1649	8534
162	1657	8511
163	1665	8487
164	1672	8462
165	1680	8440
166	1688	8420
167	1695	8397
168	1702	8371
169	1709	8348
170	1717	8325
171	1725	8306
172	1732	8283
173	1741	8268
174	1748	8244
175	1756	8223
176	1763	8200
177	1772	8185
178	1779	8161
179	1787	8143
180	1794	8121
181	1802	8101
182	1810	8082
183	1819	8068
184	1829	8060
185	1838	8046
186	1847	8032
187	1855	8014
188	1866	8007
189	1874	7991
190	1882	7972
191	1890	7954
192	1897	7932
193	1904	7911
194	1911	7890
195	1918	7869
196	1927	7855
197	1934	7835
198	1941	7815
199	1949	7796
200	1956	7776
201	1963	7756
202	1970	7735
203	1977	7715
204	1984	7695
205	1991	7675
206	1999	7661
207	2007	7642
208	2014	7625
209	2022	7608
210	2030	7591
211	2037	7574
212	2045	7558
213	2053	7541
214	2063	7535
215	2072	7522
216	2083	7517
217	2095	7517
218	2109	7522
219	2129	7551
220	2141	7547
221	2149	7533
222	2162	7535
223	2171	7523
224	2181	7515
225	2191	7504
226	2201	7497
227	2210	7485
228	2221	7478
229	2232	7474
230	2241	7462
231	2250	7450
232	2258	7433
233	2265	7416
234	2272	7398
235	2279	7380
236	2286	7361
237	2293	7343
238	2300	7326
239	2307	7308
240	2314	7290
241	2321	7272
242	2329	7256
243	2336	7240
244	2344	7223
245	2351	7206
246	2358	7188
247	2365	7171
248	2371	7154
249	2378	7135
250	2385	7119
251	2392	7100
252	2399	7083
253	2405	7064
254	2412	7047
255	2418	7028
256	2424	7009
257	2432	6997
258	2440	6981
259	2447	6965
260	2454	6950
261	2462	6935
262	2469	6919
263	2476	6903
264	2482	6886
265	2489	6869
266	2496	6853
267	2504	6840
268	2511	6824
269	2518	6809
270	2525	6792
271	2533	6781
272	2542	6770
273	2549	6755
274	2557	6741
275	2565	6728
276	2572	6714
277	2579	6700
278	2587	6685
279	2594	6671
280	2602	6658
281	2609	6643
282	2617	6630
283	2624	6616
284	2631	6601
285	2637	6585
286	2644	6569
287	2651	6554
288	2658	6540
289	2665	6526
290	2672	6512
291	2679	6497
292	2687	6485
293	2695	6472
294	2703	6460
295	2710	6445
296	2717	6433
297	2725	6421
298	2733	6407
299	2740	6393
300	2746	6378
301	2754	6365
302	2761	6352
303	2769	6340
304	2777	6328
305	2785	6317
306	2792	6304
307	2800	6292
308	2808	6280
309	2815	6267
310	2823	6254
311	2830	6241
312	2837	6228
313	2844	6214
314	2851	6199
315	2857	6186
316	2864	6172
317	2873	6162
318	2880	6149
319	2887	6134
320	2893	6121
321	2901	6108
322	2908	6095
323	2915	6082
324	2921	6068
325	2928	6055
326	2935	6042
327	2941	6026
328	2949	6014
329	2955	6001
330	2962	5988
331	2969	5975
332	2977	5963
333	2984	5950
334	2990	5937
335	2998	5924
336	3004	5911
337	3011	5898
338	3018	5885
339	3026	5874
340	3033	5862
341	3043	5854
342	3050	5843
343	3058	5831
344	3064	5817
345	3070	5804
346	3077	5790
347	3083	5777
348	3090	5764
349	3096	5750
350	3103	5737
351	3109	5724
352	3117	5713
353	3123	5699
354	3129	5686
355	3136	5673
356	3142	5660
357	3149	5647
358	3155	5634
359	3162	5621
360	3168	5608
361	3175	5595
362	3181	5582
363	3186	5568
364	3196	5560
365	3203	5548
366	3209	5536
367	3216	5523
368	3222	5510
369	3228	5497
370	3235	5486
371	3242	5474
372	3249	5461
373	3255	5449
374	3262	5437
375	3271	5429
376	3278	5418
377	3285	5406
378	3292	5395
379	3299	5383
380	3307	5372
381	3314	5362
382	3321	5350
383	3328	5340
384	3335	5328
385	3342	5316
386	3349	5305
387	3355	5293
388	3362	5280
389	3368	5268
390	3375	5257
391	3382	5245
392	3389	5235
393	3396	5224
394	3403	5212
395	3410	5202
396	3417	5191
397	3424	5180
398	3431	5168
399	3438	5158
400	3446	5147
401	3453	5136
402	3459	5125
403	3465	5113
404	3472	5101
405	3479	5091
406	3488	5082
407	3496	5073
408	3503	5062
409	3510	5051
410	3517	5040
411	3523	5028
412	3529	5016
413	3536	5005
414	3543	4994
415	3550	4983
416	3557	4973
417	3563	4961
418	3569	4949
419	3576	4938
420	3583	4928
421	3592	4920
422	3599	4909
423	3605	4897
424	3611	4886
425	3619	4876
426	3625	4865
427	3631	4853
428	3638	4842
429	3644	4831
430	3651	4821
431	3658	4810
432	3665	4799
433	3672	4789
434	3678	4777
435	3686	4768
436	3695	4760
437	3702	4750
438	3710	4741
439	3718	4732
440	3727	4724
441	3735	4715
442	3742	4706
443	3749	4695
444	3757	4686
445	3765	4677
446	3772	4667
447	3779	4656
448	3786	4646
449	3793	4636
450	3800	4625
451	3806	4615
452	3812	4604
453	3819	4594
454	3826	4582
455	3832	4572
456	3839	4561
457	3847	4552
458	3854	4543
459	3861	4532
460	3867	4522
461	3874	4511
462	3880	4500
463	3887	4490
464	3894	4480
465	3900	4469
466	3906	4459
467	3913	4448
468	3920	4438
469	3926	4427
470	3933	4417
471	3940	4408
472	3949	4399
473	3957	4391
474	3965	4382
475	3973	4374
476	3986	4370
477	3995	4363
478	4004	4356
479	4012	4346
480	4019	4336
481	4026	4327
482	4033	4317
483	4041	4308
484	4048	4299
485	4056	4290
486	4065	4282
487	4072	4272
488	4080	4264
489	4089	4256
490	4098	4248
491	4105	4239
492	4113	4229
493	4120	4220
494	4131	4214
495	4138	4205
496	4145	4195
497	4153	4187
498	4160	4177
499	4167	4167
500	4174	4157
501	4180	4147
502	4187	4137
503	4193	4127
504	4200	4117
505	4207	4107
506	4213	4097
507	4220	4087
508	4226	4076
509	4233	4067
510	4239	4057
511	4246	4047
512	4253	4037
513	4260	4028
514	4266	4018
515	4273	4008
516	4279	3998
517	4286	3988
518	4293	3978
519	4299	3968
520	4306	3959
521	4312	3949
522	4319	3939
523	4326	3930
524	4332	3920
525	4340	3911
526	4348	3903
527	4358	3896
528	4365	3886
529	4371	3876
530	4379	3867
531	4386	3858
532	4393	3849
533	4400	3840
534	4408	3831
535	4415	3822
536	4421	3812
537	4430	3804
538	4437	3795
539	4443	3784
540	4449	3775
541	4456	3766
542	4463	3756
543	4470	3746
544	4476	3737
545	4483	3727
546	4489	3718
547	4497	3709
548	4503	3699
549	4510	3690
550	4517	3681
551	4526	3673
552	4533	3664
553	4539	3654
554	4547	3645
555	4555	3637
556	4561	3628
557	4568	3618
558	4575	3609
559	4582	3600
560	4588	3590
561	4594	3581
562	4601	3571
563	4608	3562
564	4615	3553
565	4622	3544
566	4630	3535
567	4637	3526
568	4644	3518
569	4651	3508
570	4658	3500
571	4666	3491
572	4672	3482
573	4679	3472
574	4686	3463
575	4693	3455
576	4700	3446
577	4707	3436
578	4714	3427
579	4721	3418
580	4728	3409
581	4734	3400
582	4741	3391
583	4748	3382
584	4756	3373
585	4764	3365
586	4770	3356
587	4777	3347
588	4784	3338
589	4792	3330
590	4798	3320
591	4805	3311
592	4813	3303
593	4819	3294
594	4826	3284
595	4832	3275
596	4838	3266
597	4846	3258
598	4853	3249
599	4860	3240
600	4867	3231
601	4873	3222
602	4880	3213
603	4886	3204
604	4893	3194
605	4899	3185
606	4906	3176
607	4913	3167
608	4921	3159
609	4928	3151
610	4936	3142
611	4943	3134
612	4951	3126
613	4960	3118
614	4968	3110
615	4977	3102
616	4984	3094
617	4993	3086
618	5000	3077
619	5007	3069
620	5023	3065
621	5036	3060
622	5048	3054
623	5059	3048
624	5068	3040
625	5076	3032
626	5083	3024
627	5091	3015
628	5098	3007
629	5107	2999
630	5114	2991
631	5122	2982
632	5130	2974
633	5138	2966
634	5146	2958
635	5154	2949
636	5162	2941
637	5170	2933
638	5179	2926
639	5186	2917
640	5193	2908
641	5199	2899
642	5206	2890
643	5214	2882
644	5221	2874
645	5228	2865
646	5235	2856
647	5243	2848
648	5252	2840
649	5260	2832
650	5267	2823
651	5274	2815
652	5281	2806
653	5288	2797
654	5295	2789
655	5302	2780
656	5309	2771
657	5317	2763
658	5324	2755
659	5331	2746
660	5339	2738
661	5346	2729
662	5354	2721
663	5362	2713
664	5369	2705
665	5378	2697
666	5385	2688
667	5392	2680
668	5399	2671
669	5407	2663
670	5414	2654
671	5422	2646
672	5428	2637
673	5435	2628
674	5442	2620
675	5451	2612
676	5457	2603
677	5464	2595
678	5470	2586
679	5476	2577
680	5486	2569
681	5493	2561
682	5500	2552
683	5507	2544
684	5514	2535
685	5520	2526
686	5528	2518
687	5535	2510
688	5542	2501
689	5549	2493
690	5556	2484
691	5563	2476
692	5573	2469
693	5584	2462
694	5594	2455
695	5602	2447
696	5613	2440
697	5621	2432
698	5629	2424
699	5636	2415
700	5645	2407
701	5652	2399
702	5660	2391
703	5667	2383
704	5675	2374
705	5683	2366
706	5690	2358
707	5697	2349
708	5704	2341
709	5712	2333
710	5719	2324
711	5725	2316
712	5732	2307
713	5739	2298
714	5747	2290
715	5754	2282
716	5762	2274
717	5768	2265
718	5775	2257
719	5783	2249
720	5792	2241
721	5798	2232
722	5806	2224
723	5812	2215
724	5820	2207
725	5829	2200
726	5846	2195
727	5854	2187
728	5861	2179
729	5869	2171
730	5877	2162
731	5886	2155
732	5893	2146
733	5900	2138
734	5910	2131
735	5918	2122
736	5927	2115
737	5936	2107
738	5945	2099
739	5952	2091
740	5960	2083
741	5967	2074
742	5975	2066
743	5985	2059
744	5994	2051
745	6002	2043
746	6010	2035
747	6018	2027
748	6025	2019
749	6032	2010
750	6041	2002
751	6048	1994
752	6055	1986
753	6062	1977
754	6075	1971
755	6086	1964
756	6103	1959
757	6115	1952
758	6126	1945
759	6133	1936
760	6143	1929
761	6150	1921
762	6158	1912
763	6164	1904
764	6172	1895
765	6180	1888
766	6187	1879
767	6194	1871
768	6202	1863
769	6209	1854
770	6215	1846
771	6222	1837
772	6228	1829
773	6235	1820
774	6241	1812
775	6247	1803
776	6254	1795
777	6260	1786
778	6267	1778
779	6273	1769
780	6281	1761
781	6287	1752
782	6294	1744
783	6300	1735
784	6306	1727
785	6313	1718
786	6319	1710
787	6326	1701
788	6332	1693
789	6339	1685
790	6346	1676
791	6352	1668
792	6359	1659
793	6365	1651
794	6372	1643
795	6378	1634
796	6385	1626
797	6391	1617
798	6398	1609
799	6404	1601
800	6411	1592
801	6417	1584
802	6423	1575
803	6429	1567
804	6436	1559
805	6443	1550
806	6449	1542
807	6455	1534
808	6462	1525
809	6468	1517
810	6474	1508
811	6480	1500
812	6486	1491
813	6492	1483
814	6499	1475
815	6506	1467
816	6512	1458
817	6519	1450
818	6526	1442
819	6533	1434
820	6542	1426
821	6549	1418
822	6556	1410
823	6563	1401
824	6569	1393
825	6575	1385
826	6581	1376
827	6588	1368
828	6594	1360
829	6600	1351
830	6606	1343
831	6614	1335
832	6621	1327
833	6627	1319
834	6634	1311
835	6640	1302
836	6647	1294
837	6653	1286
838	6660	1278
839	6665	1269
840	6671	1261
841	6679	1253
842	6685	1245
843	6691	1236
844	6698	1228
845	6705	1220
846	6712	1212
847	6718	1204
848	6725	1196
849	6733	1188
850	6741	1180
851	6747	1172
852	6754	1163
853	6763	1156
854	6770	1148
855	6777	1140
856	6784	1131
857	6790	1123
858	6799	1116
859	6806	1107
860	6813	1099
861	6819	1091
862	6826	1083
863	6835	1076
864	6843	1068
865	6850	1059
866	6857	1051
867	6865	1044
868	6871	1035
869	6878	1027
870	6884	1019
871	6891	1011
872	6898	1003
873	6905	995
874	6912	987
875	6918	979
876	6925	971
877	6932	963
878	6939	955
879	6946	947
880	6953	939
881	6959	931
882	6966	923
883	6972	915
884	6979	906
885	6985	898
886	6992	890
887	6998	882
888	7005	874
889	7013	866
890	7020	858
891	7027	850
892	7034	842
893	7040	834
894	7048	826
895	7054	818
896	7062	810
897	7068	802
898	7076	794
899	7082	786
900	7089	778
901	7095	770
902	7102	762
903	7108	754
904	7115	746
905	7122	738
906	7128	730
907	7134	722
908	7141	714
909	7147	706
910	7154	698
911	7161	691
912	7168	683
913	7175	675
914	7182	667
915	7188	659
916	7195	651
917	7205	643
918	7213	635
919	7221	627
920	7231	620
921	7238	612
922	7249	604
923	7257	596
924	7264	589
925	7279	581
926	7290	574
927	7298	566
928	7307	558
929	7314	550
930	7320	542
931	7327	534
932	7343	527
933	7354	519
934	7366	512
935	7373	504
936	7383	496
937	7392	488
938	7401	480
939	7408	472
940	7415	464
941	7421	456
942	7427	448
943	7433	440
944	7439	432
945	7446	425
946	7453	417
947	7461	409
948	7468	401
949	7476	393
950	7483	385
951	7491	377
952	7498	369
953	7506	361
954	7513	354
955	7524	346
956	7540	338
957	7549	330
958	7556	323
959	7562	315
960	7569	307
961	7576	299
962	7583	291
963	7590	283
964	7596	275
965	7603	267
966	7610	259
967	7617	251
968	7624	243
969	7631	236
970	7639	228
971	7647	220
972	7653	212
973	7660	204
974	7667	196
975	7675	188
976	7684	180
977	7694	173
978	7701	165
979	7712	157
980	7719	149
981	7726	141
982	7734	133
983	7742	125
984	7749	118
985	7756	110
986	7763	102
987	7770	94
988	7778	86
989	7790	78
990	7803	70
991	7812	63
992	7819	55
993	7826	47
994	7832	39
995	7838	31
996	7844	23
997	7850	15
998	7856	7
999	7862	0
